SCORING,GP,GS,MPG,PPG,PPS,HIGH
"20 Swanigan, Caleb Swanigan, C. PF",7,0,3.3,0.7,1.25,5
"1 Morris, Marcus Morris, M. PF",42,42,32.2,19.4,1.31,38
"2 Randle, Julius Randle, J. PF",48,48,32.4,18.9,1.21,35
"3 Barrett, RJ Barrett, R. SF",41,41,31.2,14.1,1.08,27
"4 Bullock, Reggie Bullock, R. SG",16,13,25.1,9.6,1.05,16
"5 Portis, Bobby Portis, B. PF",50,4,20.9,9.4,1.1,30
"6 Robinson, Mitchell Robinson, M. C",46,7,22.8,9.2,1.7,22
"7 Payton, Elfrid Payton, E. PG",31,22,26.6,8.9,0.95,16
"8 Knox, Kevin Knox, K. SF",49,4,18.6,7.0,1.08,19
"9 Dotson, Damyean Dotson, D. SG",43,0,17.7,6.8,1.13,21
"10 Trier, Allonzo Trier, A. SG",20,1,12.3,6.0,1.41,22
"11 Ntilikina, Frank Ntilikina, F. PG",44,24,21.0,5.9,1.02,17
"12 Gibson, Taj Gibson, T. PF",47,41,16.5,5.5,1.25,19
"13 Smith, Dennis Smith, D. PG",25,2,15.9,5.2,0.87,17
"14 Allen, Kadeem Allen, K. PG",10,0,11.7,5.0,1.14,10
"15 Ellington, Wayne Ellington, W. SG",24,1,14.1,4.0,0.94,13
"16 Brazdeikis, Ignas Brazdeikis, I. SF",9,0,5.9,1.9,0.77,6
"1 Davis, Anthony Davis, A. PF",41,41,34.6,26.6,1.48,50
"2 James, LeBron James, L. SF",46,46,34.8,25.0,1.28,39
"3 Kuzma, Kyle Kuzma, K. PF",39,6,24.9,13.0,1.18,36
"4 Caldwell-Pope, Kentavious Caldwell-Pope, K. SG",48,20,25.6,9.8,1.33,20
"5 Green, Danny Green, D. SG",47,47,25.0,8.7,1.17,28
"6 Bradley, Avery Bradley, A. SG",34,29,22.9,7.8,1.06,19
"7 Rondo, Rajon Rondo, R. PG",33,2,21.2,7.6,1.05,21
"8 Howard, Dwight Howard, D. C",48,2,19.9,7.4,1.76,21
"9 McGee, JaVale McGee, J. C",46,46,16.9,7.3,1.49,18
"10 Caruso, Alex Caruso, A. PG",45,0,18.6,5.5,1.21,16
"11 Cook, Quinn Cook, Q. PG",32,0,11.8,5.3,1.10,22
"12 Daniels, Troy Daniels, T. SG",36,0,11.7,4.4,1.10,17
"13 Dudley, Jared Dudley, J. SF",34,1,8.5,1.7,1.26,9
"14 Antetokounmpo, Kostas Antetokounmpo, K. SF",3,0,1.7,0.0,-,0
"14 Horton-Tucker, Talen Horton-Tucker, T. SG",2,0,2.5,0.0,0.00,0
"14 Norvell, Zach Norvell, Z. SG",2,0,2.5,0.0,0.00,0
"1 Vucevic, Nikola Vucevic, N. C",38,38,31.7,18.7,1.13,30
"2 Fournier, Evan Fournier, E. SG",48,48,31.5,18.6,1.3,32
"3 Gordon, Aaron Gordon, A. PF",43,43,31.7,13.5,1.1,32
"4 Ross, Terrence Ross, T. SG",47,0,26.1,13.2,1.14,26
"5 Isaac, Jonathan Isaac, J. SF",32,32,29.7,12.0,1.19,25
"6 Fultz, Markelle Fultz, M. PG",48,43,27.7,11.7,1.11,25
"7 Augustin, D.J. Augustin, D. PG",39,6,26.0,10.7,1.28,25
"8 Carter-Williams, Michael Carter-Williams, M. PG",26,0,16.9,6.5,1.14,15
"9 Bamba, Mo Bamba, M. C",45,0,15.3,5.4,1.13,15
"10 Iwundu, Wes Iwundu, W. SF",35,10,18.1,5.0,1.16,19
"11 Aminu, Al-Farouq Aminu, A. SF",18,2,21.1,4.3,0.91,13
"12 Birch, Khem Birch, K. C",35,23,21.1,4.1,1.32,12
"13 Clark, Gary Clark, G. PF",6,0,13.3,3.3,1.11,12
"14 Johnson, BJ Johnson, B. SF",6,0,6.8,2.2,0.81,9
"15 Magette, Josh Magette, J. PG",8,0,4.8,1.5,0.8,4
"16 Frazier, Melvin Frazier, M. SG",13,0,3.6,1.4,1.06,6
"17 Jefferson, Amile Jefferson, A. PF",17,0,4.4,0.9,1.15,4
"18 Law, Vic Law, V. SF",2,0,2.0,0.0,0.0,0
"1 Doncic, Luka Doncic, L. SG",43,43,32.8,28.8,1.41,42
"2 Porzingis, Kristaps Porzingis, K. PF",37,37,30.5,17.2,1.15,35
"3 Hardaway, Tim Hardaway, T. SG",46,33,26.6,14.0,1.21,31
"4 Curry, Seth Curry, S. PG",47,13,22.9,10.8,1.32,30
"5 Powell, Dwight Powell, D. PF",40,37,26.5,9.4,1.64,24
"6 Barea, J.J. Barea, J. PG",15,4,15.9,9.3,1.19,15
"7 Finney-Smith, Dorian Finney-Smith, D. SF",49,46,29.5,9.3,1.32,22
"8 Kleber, Maxi Kleber, M. PF",48,11,24.7,9.2,1.36,24
"9 Brunson, Jalen Brunson, J. PG",49,9,17.2,8.0,1.19,27
"10 Wright, Delon Wright, D. PG",47,4,21.0,7.4,1.26,20
"11 Marjanovic, Boban Marjanovic, B. C",24,1,9.8,6.2,1.36,15
"12 Jackson, Justin Jackson, J. SF",44,2,16.5,6.0,1.07,19
"13 Broekhoff, Ryan Broekhoff, R. SG",13,1,9.8,4.5,1.44,9
"14 Cauley-Stein, Willie Cauley-Stein, W. C",3,1,16.7,4.3,0.93,17
"15 Lee, Courtney Lee, C. SG",10,3,8.0,3.3,1.43,12
"16 Cleveland, Antonius Cleveland, A. SG",4,0,4.0,1.0,1.00,2
